rel_path,size_bytes,size_h,category,possible_use
01_core-platform/01_docs/_archive/flowith.zip,63035066,60.1MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
01_core-platform/01_docs/_archive/شوقي/تشغيل اسلام/منظومة__حاضر__وثائق_داخلية_تكشف_تحديات_الإدارة،_فشل__الميل_الأخ.m4a,57341802,54.7MB,media_audio,صوتيات/تسجيلات—تنظيمها أو نقلها لأرشيف.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/06_KAIA_LEADERSHIP/خطة_السبع_سنابل__كيف_أنقذت_KAIA_كيان__حاضر__من_الانهيار_المالي_.m4a,51839386,49.4MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
02_business-oses/task/2-12-2025/haderos_project_hub/HaderOS__نظام_التشغيل_الحي.mp4,47453517,45.3MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
رسالة_قائد__تفكيك_الحمض_النووي_لحاضر_2030.mp4,45278210,43.2MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
01_core-platform/01_docs/_archive/شوقي/تشغيل اسلام/شركة_على_حافة_الهاوية__مخطط_الحصن_البشري.mp4,42650207,40.7MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/HADER__مخطط_لنظام_تجاري_مدعوم_بالذكاء_الاصطناعي.mp4,42331898,40.4MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
00/HaderOS__بناء_ضمير_رقمي.mp4,41190829,39.3MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
فتح_منجم_التجارة_الإلكترونية_في_مصر__خطة_استراتيجية.mp4,40762020,38.9MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
01_core-platform/01_docs/_archive/شوقي/أعمال_الفوضى__إيجاد_الهيكل_في_الواقع.mp4,40051479,38.2MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
HaderOS__تشريح_عقل_مؤسسي.mp4,39484652,37.7MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/91_QURANIC_ENGINE/Engine_Packages/haderos-ethical-engine-poc.tar,37918720,36.2MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
حاضر_٢٠٣٠__بناء_شركة_حية.mp4,37085001,35.4MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/مشروع_HADER__مخطط_للتجارة_الإلكترونية_بالذكاء_الاصطناعي.mp4,36995888,35.3MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
دراسة__العطار_الرقمي_المصري.mp4,36902882,35.2MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
إطلاق_مشروع_تجارة_إلكترونية_في_مصر.mp4,36740467,35.0MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
01_core-platform/02_code/web/web explain/كيف_تبني_جيشاً_من_القادة.mp4,35686453,34.0MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
حاضر_2030__مخطط_لمستقبل_أصيل.mp4,35441291,33.8MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
01_core-platform/01_docs/_archive/شوقي/من_النص_إلى_النبض.mp4,35241441,33.6MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
02_business-oses/task/2-12-2025/haderos_project_hub/HaderOS__النظام_ذو_الضمير.mp4,35047620,33.4MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
رسالة_قائد__تأسيس_حاضر_٢٠٣٠.mp4,34995708,33.4MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
00/حاضر_أو_إس__الأكثر_تطوراً...mp4,34297657,32.7MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
حاضر_2030__مخطط_مؤسسة_هجينة.mp4,34274066,32.7MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
01_core-platform/01_docs/_archive/شوقي/تشغيل اسلام/خطة_السبع_سنابل__خارطة_طريق.mp4,33707419,32.1MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
خطاب_إلى_المؤسسين__نزرع_غابة.mp4,33456578,31.9MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
00/HaderOS__الكود_صاحب_الضمير.mp4,33336713,31.8MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
00/مراجعة الملفات والمحادثات للتأكد من فهم المشروع-2.zip,32711587,31.2MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
01_core-platform/02_code/web/web explain/من_مشترٍ_إلى_صديق_وفيّ.mp4,32704279,31.2MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
01_core-platform/01_docs/_archive/شوقي/نظام_تشغيل_لإدارة_التحول.mp4,32559553,31.1MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
00/HaderOS__دماغ_بلا_جسد.mp4,32522886,31.0MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
حاضر_2030__بناء_نظام_تشغيل_أخلاقي.mp4,32131946,30.6MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
02_business-oses/task/2-12-2025/haderos_project_hub/HaderOS__نظام_التشغيل_صاحب_الضمير.mp4,31748388,30.3MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
01_core-platform/02_code/web/web explain/ميثاق_أداء_حاضر__رحلة_القائد.mp4,31376241,29.9MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/HaderOS__مخطط_المؤسسة_المستقلة.mp4,31329355,29.9MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
منتجان__كنوز_قديمة_ومستقبل_ذكي.mp4,31310613,29.9MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
01_core-platform/01_docs/_archive/شوقي/تشغيل اسلام/حاضر__قصة_تحوّل.mp4,31122536,29.7MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
00/من_المخطط_إلى_البناء__خطة_الـ_16_جيجابايت.mp4,30927871,29.5MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/مكعبات_HaderOS_OPS__نظام_تشغيل_بضمير.mp4,30823222,29.4MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
01_core-platform/02_code/web/web explain/من_طوفان_البيانات_إلى_القرارات_الآلية.mp4,30616262,29.2MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
01_core-platform/01_docs/_archive/شوقي/تشغيل اسلام/شركة_في_أزمة__خطة_الـ_90_يومًا.mp4,30338818,28.9MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/بناء_علامة_تجارية_مصرية__المخطط_الكامل.mp4,30200436,28.8MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
02_business-oses/task/2-12-2025/haderos_project_hub/النظام_البيئي_HaderOS__دليل_جديد_للقيادة.mp4,29729810,28.4MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
من_التمر_والعسل_لنظام_HaderOS_الذكي.m4a,29287883,27.9MB,media_audio,صوتيات/تسجيلات—تنظيمها أو نقلها لأرشيف.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/من_التمر_والعسل_لنظام_HaderOS_الذكي.m4a,29287883,27.9MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
منجم_التجارة_الإلكترونية_المصري.mp4,29259806,27.9MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
01_core-platform/02_code/src/QuranicSystem/python-3.13.6-amd64.exe,28794288,27.5MB,other,غير مصنف—راجع يدويًا.
01_core-platform/02_code/web/web explain/بناء_القادة__نموذج_منصة_كايا.mp4,28453654,27.1MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
01_core-platform/01_docs/_archive/شوقي/تشغيل اسلام/خطة_إنقاذ__حاضر_.mp4,28333837,27.0MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
00/HaderOS__من_الرؤية_إلى_الضوء_الأخضر.mp4,27593271,26.3MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
01_core-platform/02_code/web/web explain/بناء_متجر_إلكتروني_مربح.mp4,27408454,26.1MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
01_core-platform/02_code/web/web explain/من_فكرة_إلى_منصة_ثقة.mp4,27144079,25.9MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/06_KAIA_LEADERSHIP/1765052134_startup_technical_guide_ai_agents_final.pdf,26744198,25.5MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
00/مراجعة الملفات والمحادثات للتأكد من فهم المشروع-2/03_kaia-agents/startup_technical_guide_ai_agents_final.pdf,26744198,25.5MB,docs,توثيق/مستندات—مرجعية تشغيل وفِهم.
برمجة_الأخلاق_بين_الرؤية_وصدمة_الصفر_كود.m4a,26693237,25.5MB,media_audio,صوتيات/تسجيلات—تنظيمها أو نقلها لأرشيف.
01_core-platform/02_code/web/web explain/الخطة_الكاملة_للإطلاق__بناء_آلة_تجارة_إلكترونية_ذكية.mp4,26351359,25.1MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
01_core-platform/02_code/web/web explain/اليوم_الثاني__تأمين_خطوط_الإمداد.mp4,25797773,24.6MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
01_core-platform/02_code/web/web explain/مخطط_حاضر__بناء_قادة_لا_موظفين.mp4,25460972,24.3MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
تحويل_تقييم_سلبي_لعرض_استثماري_لا_يقاوم.m4a,25185881,24.0MB,media_audio,صوتيات/تسجيلات—تنظيمها أو نقلها لأرشيف.
HaderOS__برمجيات_حيوية_وأخلاقيات_مبرمجة_تقود_المستقبل.m4a,24658239,23.5MB,media_audio,صوتيات/تسجيلات—تنظيمها أو نقلها لأرشيف.
99_ARCHIVE_LEGACY/Backups/haderos back/web/web explain/‎⁨من_موظف_إلى_مافيا_داعمة⁩.mp4,24174245,23.1MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/06_KAIA_LEADERSHIP/1765052134_03_kaia-agents.zip,23933701,22.8MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
00/مراجعة الملفات والمحادثات للتأكد من فهم المشروع-2/03_kaia-agents.zip,23933701,22.8MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
حاضر__بناء_نظام_تشغيل_أخلاقي_للأعمال.mp4,23925214,22.8MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/02_OPERATIONS_REPORTS/1765052114_whatsapp_ALL_messages.txt,23521057,22.4MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
عناقيد_الإنتاج_مفتاح_التجارة_المصرية_الرابحة.m4a,23372122,22.3MB,media_audio,صوتيات/تسجيلات—تنظيمها أو نقلها لأرشيف.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/07_PRODUCTS_KEMIT/عناقيد_الإنتاج_مفتاح_التجارة_المصرية_الرابحة.m4a,23372122,22.3MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
01_core-platform/02_code/web/web explain/اليوم_4__وضع__التوربو__..mp4,23300115,22.2MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
safety_core/‎⁨دستور_حاضر_2030_بناء_شركة_بأخلاق_الذكاء_الاصطناعي⁩.m4a,23227944,22.2MB,media_audio,صوتيات/تسجيلات—تنظيمها أو نقلها لأرشيف.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/02_OPERATIONS_REPORTS/1765052114_whatsapp_ALL_messages.csv,22436411,21.4MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
01_core-platform/02_code/web/web explain/اليوم_الثالث__سحر_الكلمات_والأتمتة.mp4,21505030,20.5MB,media_video,مواد شرح/تسويق/تسجيلات—يفضل نقلها خارج repo إن كانت كبيرة.
99_ARCHIVE_LEGACY/Backups/haderos back/_archive/شوقي/WhatsApp Chat - هاله من معهد لونچيفتي (1)/00000041-VIDEO-2025-10-09-23-38-39.mp4,18576920,17.7MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/99_ARCHIVE_LEGACY/Old_Versions/HaderOS_v2/HaderOS_Final_Package_v2 2.zip,17745379,16.9MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Backups/haderos back/docs/‎⁨كتالوج المجموعات يوليو 2025⁩.pdf,16101410,15.4MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Backups/haderos back/_archive/شوقي/WhatsApp Chat - هاله من معهد لونچيفتي (1)/00000039-VIDEO-2025-10-09-23-38-38.mp4,14744932,14.1MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/02_OPERATIONS_REPORTS/AUDIO-2025-11-02-13-54-10.mp3,13230765,12.6MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Backups/haderos back/_archive/شوقي/WhatsApp Chat - هاله من معهد لونچيفتي (1)/00000038-VIDEO-2025-10-09-23-38-38.mp4,13081683,12.5MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Backups/haderos back/_archive/شوقي/WhatsApp Chat - هاله من معهد لونچيفتي (1)/00000035-VIDEO-2025-10-09-23-35-18.mp4,12865580,12.3MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Backups/manus 2026/Uploaded Files Overview.zip,12401400,11.8MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Backups/haderos back/_archive/شوقي/WhatsApp Chat - هاله من معهد لونچيفتي (1)/00000037-VIDEO-2025-10-09-23-38-38.mp4,11794035,11.2MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Backups/haderos back/web/FINAL WEB /hader_website/client/public/products/PR22/PR22_2.jpg,11594047,11.1MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/91_QURANIC_ENGINE/Engine_Packages/haderos-ethical-engine-poc.tar.gz,11414280,10.9MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Backups/haderos back/_archive/شوقي/WhatsApp Chat - هاله من معهد لونچيفتي (1)/00000040-VIDEO-2025-10-09-23-38-39.mp4,11239332,10.7MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/99_ARCHIVE_LEGACY/Uploaded Files Overview - Manus.webarchive,11174787,10.7MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/haderos_presentation.pptx,11070186,10.6MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/haderos_jobs_presentation.pptx,10926951,10.4MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Backups/haderos back/web/FINAL WEB /hader_website/client/public/products/BO5/BO5_6.jpg,9833539,9.4MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Backups/haderos back/_archive/شوقي/WhatsApp Chat - هاله من معهد لونچيفتي (1)/00000025-كتيب الإدارة التنفيذية (1).pdf,9382157,8.9MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/04_HADEROS_ENGINEERING/typescript.js,9112572,8.7MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Backups/haderos back/web/FINAL WEB /hader_website/client/public/products/PR24/PR24_2.jpg,8491475,8.1MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
01_core-platform/01_docs/_archive/البيان/AI VIDEO EXPORT WAY.docx,8167109,7.8MB,docs,توثيق/مستندات—مرجعية تشغيل وفِهم.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/99_ARCHIVE_LEGACY/1765052228_HaderOS_Final_Package_v2.zip,7107510,6.8MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/90_WEB_SHOPIFY/authentication_webauthn_client.so,6726896,6.4MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Backups/haderos back/web/FINAL WEB /hader_website/client/public/products/SK22/SK22_2.jpg,6710856,6.4MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/02_OPERATIONS_REPORTS/WhatsApp Chat - الخروج ! والتقرير.zip,6386325,6.1MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
01_core-platform/01_docs/docs/مشروع كيميت_ مخطط فني للاكتفاء الذاتي المستدام.docx,6310549,6.0MB,docs,توثيق/مستندات—مرجعية تشغيل وفِهم.
99_ARCHIVE_LEGACY/Backups/haderos back/_archive/do/HaderOS_Final_Package_v2/02_Academic/ابتكار منتجات تراثية مستدامة بتكنولوجيا حديثة.docx,6260611,6.0MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
01_core-platform/02_code/web/وثائقي ثقة_ من المصنع للتاجر.docx,6251061,6.0MB,docs,توثيق/مستندات—مرجعية تشغيل وفِهم.
01_core-platform/02_code/src/QuranicSystem/منظومة الفرقان الموحّدة_ خارطة طريق استراتيجية لشركة حاضر (1).docx,6246564,6.0MB,docs,توثيق/مستندات—مرجعية تشغيل وفِهم.
01_core-platform/01_docs/_archive/البيان/عصور التاريخ وأحداث الحضارة_.docx,6245561,6.0MB,docs,توثيق/مستندات—مرجعية تشغيل وفِهم.
01_core-platform/01_docs/_archive/البيان/حذاء في القرآن والتاريخ_.docx,6228621,5.9MB,docs,توثيق/مستندات—مرجعية تشغيل وفِهم.
01_core-platform/01_docs/_archive/البيان/خطة تنفيذ الفيديوهات_.docx,6223608,5.9MB,docs,توثيق/مستندات—مرجعية تشغيل وفِهم.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/90_WEB_SHOPIFY/Frontend_Code/1765052186__tsc.js,6213092,5.9MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/06_KAIA_LEADERSHIP/1765052133_The Operational Codex of the MAKC Agent.docx,6204976,5.9MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
00/مراجعة الملفات والمحادثات للتأكد من فهم المشروع-2/1765052125_TheOperationalCodexoftheMAKCAgent.docx,6204976,5.9MB,docs,توثيق/مستندات—مرجعية تشغيل وفِهم.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/02_OPERATIONS_REPORTS/1765052116_AUDIO-2025-11-02-14-07-02.m4a,5886419,5.6MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Backups/haderos back/web/FINAL WEB /hader_website/client/public/products/SK22/SK22_5.jpg,5690840,5.4MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/03_KNOWLEDGE_ARCHITECTURE/1765052118_hader-knowledge_delivery_v0.2.zip,5651589,5.4MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/03_KNOWLEDGE_ARCHITECTURE/1765052118_hader-knowledge_delivery_v0.1.zip,5559945,5.3MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
